block_id,block_label,block_category_str,block_eligible,in_final_sample
3232,"[Block ID:]  3232 [Category:]  Empty/not-urban [Notes:] new area, empty space- etiosa",Empty/not-urban,0,0
1936,[Block ID:]  1936 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
7575,[Block ID:]  7575 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7405,[Block ID:]  7405 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3235,"[Block ID:]  3235 [Category:]  Empty/not-urban [Notes:] empty, new area in etiosa",Empty/not-urban,0,0
4218,[Block ID:]  4218 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2085,[Block ID:]  2085 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1940,[Block ID:]  1940 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2717,[Block ID:]  2717 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2203,[Block ID:]  2203 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5826,[Block ID:]  5826 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1694,[Block ID:]  1694 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3127,[Block ID:]  3127 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
2243,[Block ID:]  2243 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
580,[Block ID:]  580 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
8436,[Block ID:]  8436 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2851,[Block ID:]  2851 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3939,[Block ID:]  3939 [Category:]  Empty/not-urban [Notes:] empty space near ogombo lekki,Empty/not-urban,0,0
